Продукт,углеводы(г/100г),белки(г/100г),жиры(г/100г),ккал(100г)
Масло виноградных косточек,0.00 г,0.00 г,100.00 г,884 кКал
Масло кукурузное,0.00 г,0.00 г,100.00 г,900 кКал
Жир бараний сырой,0.00 г,0.00 г,100.00 г,902 кКал
Масло грецкого ореха,0.00 г,0.00 г,100.00 г,884 кКал
Масло миндальное,0.00 г,0.00 г,100.00 г,884 кКал
Масло фундука,0.00 г,0.00 г,100.00 г,884 кКал
Масло абрикосовое,0.00 г,0.00 г,100.00 г,884 кКал
Масло какао,0.00 г,0.00 г,100.00 г,884 кКал
Масло хлопковое,0.00 г,0.00 г,100.00 г,884 кКал
Масло сафлоровое,0.00 г,0.00 г,100.00 г,884 кКал
Масло маковое,0.00 г,0.00 г,100.00 г,884 кКал
Масло бабассу,0.00 г,0.00 г,100.00 г,884 кКал
Масло ши (карите),0.00 г,0.00 г,100.00 г,884 кКал
Жир куриный сырой,0.00 г,0.00 г,99.80 г,900 кКал
Масло подсолнечное,0.00 г,0.00 г,100.00 г,884 кКал
Масло овса,0.00 г,0.00 г,100.00 г,884 кКал
Жир печени трески сырой,0.00 г,0.00 г,100.00 г,902 кКал
Жир лосося сырой,0.00 г,0.00 г,100.00 г,902 кКал
Жир сельди сырой,0.00 г,0.00 г,100.00 г,902 кКал
Жир сардин сырой,0.00 г,0.00 г,100.00 г,902 кКал
Жир утиный сырой,0.00 г,0.00 г,99.80 г,882 кКал
Жир индейки сырой,0.00 г,0.00 г,99.80 г,900 кКал
Жир гусиный сырой,0.00 г,0.00 г,99.80 г,900 кКал
Масло авокадо,0.00 г,0.00 г,100.00 г,884 кКал
Масло канолы,0.00 г,0.00 г,100.00 г,884 кКал
Масло горчичное,0.00 г,0.00 г,100.00 г,884 кКал
Маргарин,0.75 г,0.22 г,80.17 г,3 кКал
Мясо индейки (индюшатина) сырое. мясо целой тушки,0.14 г,22.64 г,1.93 г,1 кКал
Мясо индейки (индюшатина) запечённое (мясо целой тушки),0.00 г,29.06 г,3.84 г,159 кКал
Кожа индейки в сыром виде,0.16 г,12.96 г,38.93 г,1 кКал
Желудки индейки сырые,0.00 г,18.80 г,3.37 г,111 кКал
Желудки индейки тушёные,0.00 г,26.45 г,4.64 г,155 кКал
Сердце индейки сырое,0.40 г,16.70 г,7.44 г,2 кКал
Сердце индейки приготовленное,0.00 г,24.88 г,7.52 г,174 кКал
Печень индейки сырая,0.00 г,18.26 г,5.50 г,128 кКал
Печень индейки тушёная,0.00 г,27.00 г,8.18 г,189 кКал
Шея индейки сырая,0.00 г,16.51 г,6.04 г,125 кКал
Шея индейки отварная или тушёная,0.00 г,22.48 г,7.36 г,162 кКал
Грудка индейки (филе) сырая,0.14 г,23.66 г,1.48 г,1 кКал
Грудка индейки (филе) варёная,0.00 г,30.13 г,2.08 г,147 кКал
Фуа-гра консервированное,4.67 г,11.40 г,43.84 г,19 кКал
Куриный фарш сырой,0.04 г,17.44 г,8.10 г,0 кКал
Куриная кожа отварная,0.00 г,15.22 г,33.04 г,363 кКал
Куриные жулудки сырые,0.00 г,17.66 г,2.06 г,94 кКал
Куриные жулудки варёные или тушёные,0.00 г,30.39 г,2.68 г,154 кКал
Куриные сердца сырые,0.71 г,15.55 г,9.33 г,3 кКал
Куриные сердца приготовленные,0.10 г,26.41 г,7.92 г,0 кКал
Куриная печень сырая,0.73 г,16.92 г,4.83 г,3 кКал
Куриная печень тушёная или варёная,0.87 г,24.46 г,6.51 г,3 кКал
Курица сырое куриное мясо,0.00 г,21.39 г,3.08 г,119 кКал
Курица жареная,1.69 г,30.57 г,9.12 г,7 кКал
Курица запечённая,0.00 г,28.93 г,7.41 г,190 кКал
Курица варёная или тушёная,0.00 г,27.29 г,6.71 г,177 кКал
Куриная кожа сырая,0.00 г,13.33 г,32.35 г,349 кКал
Куриная спинка приготовленная (мясо с кожей),0.00 г,22.18 г,18.14 г,258 кКал
Куриная спинка (без кожи) сырая,0.00 г,19.56 г,5.92 г,137 кКал
Куриная грудка сырая. с кожей,0.00 г,20.85 г,9.25 г,172 кКал
Филе куриной грудки сырое мясо. без кожи,0.00 г,22.50 г,2.62 г,120 кКал
Куриная голень сырая. мясо с кожей,0.11 г,18.08 г,9.20 г,0 кКал
Куриная спинка сырая. мясо с кожей,0.00 г,14.05 г,28.74 г,319 кКал
Куриные бёдра сырые. мясо с кожей,0.25 г,16.52 г,16.61 г,1 кКал
Куриные бёдра жареные (мясо с кожей),3.18 г,26.75 г,14.98 г,13 кКал
Куриные бёдра запечённые (мясо с кожей),0.00 г,23.26 г,14.71 г,232 кКал
Куриные бёдра варёные или тушёные (мясо с кожей),0.00 г,23.26 г,14.74 г,232 кКал
Куриные бёдра без кожи варёные или тушёные,0.00 г,25.00 г,9.79 г,195 кКал
Куриная голень жареная (мясо с кожей),1.63 г,26.96 г,13.72 г,7 кКал
Куриная голень запечённая (мясо с кожей),0.00 г,23.35 г,10.15 г,191 кКал
Куриная голень (без кожи) жареная,0.00 г,28.62 г,8.08 г,195 кКал
Куриная голень тушёная или варёная (мясо с кожей),0.00 г,25.32 г,10.64 г,204 кКал
Куриная голень (без кожи) тушёная или варёная,0.00 г,27.50 г,5.71 г,169 кКал
Куриные ножки (окорочка) сырые. мясо с кожей,0.17 г,16.37 г,15.95 г,1 кКал
Куриные ножки жареные (мясо с кожей),2.50 г,26.84 г,14.43 г,10 кКал
Куриные ножки запечённые (мясо с кожей),0.00 г,24.03 г,8.99 г,184 кКал
Куриные ножки варёные или тушёные (мясо с кожей),0.00 г,24.17 г,12.92 г,220 кКал
Куриные крылышки жареные,2.39 г,26.11 г,22.16 г,10 кКал
Куриные крылышки запечённые,0.00 г,23.79 г,16.87 г,254 кКал
Куриные крылышки сырые,0.00 г,17.52 г,12.85 г,191 кКал
Куриные крылышки варёные или тушёные,0.00 г,22.78 г,16.82 г,249 кКал
Мясо фазана сырое,0.00 г,22.70 г,9.29 г,181 кКал
Печень гусиная сырая,6.32 г,16.37 г,4.28 г,25 кКал
Индейка сырая. мясо и кожа целой тушки,0.13 г,21.64 г,5.64 г,1 кКал
Индейка запечённая (мясо и кожа целой тушки),0.06 г,28.55 г,7.39 г,0 кКал
Утка (мясо утиное) сырое мясо. без кожи,0.94 г,18.28 г,5.95 г,4 кКал
Утка (мясо утиное) запечённая (мясо без кожи),0.00 г,23.48 г,11.20 г,201 кКал
Печень утиная сырая,3.53 г,18.74 г,4.64 г,14 кКал
Мясо гусиное сырое,0.00 г,15.86 г,33.62 г,371 кКал
Гусь запечённый,0.00 г,25.16 г,21.92 г,305 кКал
Страусиное мясо сырое. вырезка,0.00 г,22.07 г,3.19 г,123 кКал
Куриная печень жареная,1.11 г,25.78 г,6.43 г,4 кКал
Куриные лапки приготовленные,0.20 г,19.40 г,14.60 г,1 кКал
Голень индейки сырая. без кожи,0.14 г,23.66 г,1.48 г,1 кКал
Голень индейки запечённая (без кожи),0.00 г,30.13 г,2.08 г,139 кКал
Бедро индейки (филе) запечённое,0.00 г,27.71 г,6.04 г,165 кКал
Бедро индейки (филе) сырое,0.15 г,21.28 г,2.50 г,1 кКал
Куриная грудка варёная или тушёная (без кожи),0.00 г,32.06 г,3.24 г,157 кКал
Куриная грудка запечённая (без кожи),0.00 г,30.54 г,3.17 г,151 кКал
Майонез,0.57 г,0.96 г,74.85 г,2 кКал
Жир говяжий сырой,0.00 г,0.00 г,100.00 г,902 кКал
Жир свиной (сало свиное) сырой,0.00 г,0.00 г,100.00 г,902 кКал
Масло оливковое,0.00 г,0.00 г,100.00 г,884 кКал
Масло пальмовое,0.00 г,0.00 г,100.00 г,884 кКал
Масло кунжутное,0.00 г,0.00 г,100.00 г,884 кКал
Масло рисовых отрубей,0.00 г,0.00 г,100.00 г,884 кКал
Масло зародышей пшеницы,0.00 г,0.00 г,100.00 г,884 кКал
Масло арахисовое,0.00 г,0.00 г,100.00 г,884 кКал
Масло соевое,0.00 г,0.00 г,100.00 г,884 кКал
Масло кокосовое,0.00 г,0.00 г,99.06 г,892 кКал
Колбаса варёная,6.31 г,10.34 г,23.77 г,25 кКал
Колбаса копчёная,3.72 г,10.84 г,29.63 г,15 кКал
Манка крупа манная сухая,78.00 г,10.60 г,0.50 г,312 кКал
Мюсли в сухом виде (с сухофруктами и орехами),74.90 г,8.60 г,5.40 г,300 кКал
Мюсли запечённые (гранола) в сухом виде. хрустящие. с мёдом,53.88 г,13.67 г,24.31 г,216 кКал
Каша овсяная (овсянка) на воде (приготовленная),12.00 г,2.54 г,1.52 г,48 кКал
Овсяные хлопья сухие (быстрого приготовления),67.70 г,13.15 г,6.52 г,271 кКал
Манная каша на воде,10.92 г,1.82 г,0.34 г,44 кКал
Воздушный рис готовый к употреблению,89.80 г,6.30 г,0.50 г,359 кКал
Воздушная пшеница готовая к употреблению,79.60 г,14.70 г,1.20 г,318 кКал
Крупа кукурузная сухая,79.91 г,6.72 г,1.49 г,320 кКал
Крупа кукурузная на воде (каша приготовленная),13.86 г,1.23 г,0.39 г,55 кКал
Крупа пшеничная сухая,75.20 г,11.20 г,2.00 г,301 кКал
Каша пшеничная на воде (варёная),13.70 г,2.00 г,0.40 г,55 кКал
Дыня свежая,9.09 г,0.54 г,0.14 г,36 кКал
Нектарины свежие,10.55 г,1.06 г,0.32 г,42 кКал
Шелковица свежая,9.80 г,1.44 г,0.39 г,39 кКал
Маслины консервированные,5.61 г,0.97 г,6.87 г,22 кКал
Оливки зелёные консервированные,3.84 г,1.03 г,15.32 г,15 кКал
Логанова ягода замороженная,13.02 г,1.52 г,0.31 г,52 кКал
Лонган свежий,15.14 г,1.31 г,0.10 г,61 кКал
Мушмула свежая,12.14 г,0.43 г,0.20 г,49 кКал
Антильский абрикос свежий,12.50 г,0.50 г,0.50 г,50 кКал
Манго свежее,14.98 г,0.82 г,0.38 г,60 кКал
Мангостин консервированный,17.91 г,0.41 г,0.58 г,72 кКал
Манго сушёное,78.58 г,2.45 г,1.18 г,314 кКал
Дыня Канталупа свежая,8.16 г,0.84 г,0.19 г,33 кКал
Мандарины свежие,13.34 г,0.81 г,0.31 г,53 кКал
Сок мандариновый свежий,10.10 г,0.50 г,0.20 г,40 кКал
Папайя свежая,10.82 г,0.47 г,0.26 г,43 кКал
Сок папайи (нектар) консервированный,14.51 г,0.17 г,0.15 г,58 кКал
Маракуйя свежая,23.38 г,2.20 г,0.70 г,94 кКал
Апельсины свежие,11.75 г,0.94 г,0.12 г,47 кКал
Сок апельсиновый свежевыжатый,10.40 г,0.70 г,0.20 г,42 кКал
Сок апельсиновый консервированный,11.01 г,0.68 г,0.15 г,44 кКал
Цедра апельсина (кожура) свежая,25.00 г,1.50 г,0.20 г,100 кКал
Сок персиковый (нектар) консервированный,13.92 г,0.27 г,0.02 г,56 кКал
Груша свежая,15.23 г,0.36 г,0.14 г,61 кКал
